domain,trial,case,expected,actual,reason,correct,verification_ms
banking_transfer,59,recipient_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
banking_transfer,60,exact_match,accept,accept,approved,True,0.016500000000002624
banking_transfer,60,amount_tamper,reject,reject,semantic_mismatch,True,0.016334000000006732
banking_transfer,60,recipient_tamper,reject,reject,semantic_mismatch,True,0.04250000000000087
enterprise_admin,1,exact_match,accept,accept,approved,True,0.018334000000008732
enterprise_admin,1,role_escalation,reject,reject,semantic_mismatch,True,0.01683299999999388
enterprise_admin,1,tenant_tamper,reject,reject,semantic_mismatch,True,0.01637499999999903
enterprise_admin,2,exact_match,accept,accept,approved,True,0.016125000000005718
enterprise_admin,2,role_escalation,reject,reject,semantic_mismatch,True,0.016125000000005718
enterprise_admin,2,tenant_tamper,reject,reject,semantic_mismatch,True,0.016291999999987206
enterprise_admin,3,exact_match,accept,accept,approved,True,0.016208000000003664
enterprise_admin,3,role_escalation,reject,reject,semantic_mismatch,True,0.01616699999999749
enterprise_admin,3,tenant_tamper,reject,reject,semantic_mismatch,True,0.015958000000010353
enterprise_admin,4,exact_match,accept,accept,approved,True,0.016249999999995435
enterprise_admin,4,role_escalation,reject,reject,semantic_mismatch,True,0.016125000000005718
enterprise_admin,4,tenant_tamper,reject,reject,semantic_mismatch,True,0.016250000000009313
enterprise_admin,5,exact_match,accept,accept,approved,True,0.016207999999989786
enterprise_admin,5,role_escalation,reject,reject,semantic_mismatch,True,0.01633299999999338
enterprise_admin,5,tenant_tamper,reject,reject,semantic_mismatch,True,0.016208000000003664
enterprise_admin,6,exact_match,accept,accept,approved,True,0.09779199999999932
enterprise_admin,6,role_escalation,reject,reject,semantic_mismatch,True,0.0164169999999908
enterprise_admin,6,tenant_tamper,reject,reject,semantic_mismatch,True,0.01604099999999442
enterprise_admin,7,exact_match,accept,accept,approved,True,0.01616699999999749
enterprise_admin,7,role_escalation,reject,reject,semantic_mismatch,True,0.016666000000012393
enterprise_admin,7,tenant_tamper,reject,reject,semantic_mismatch,True,0.016416000000005204
enterprise_admin,8,exact_match,accept,accept,approved,True,0.016208000000003664
