log_type,event_id,reconstruction_completeness,ambiguity_rate,missing_evidence_rate,missing_fields,reconstruction_time_ms
baseline,evt-81,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-81,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-82,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-82,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-83,71.429,28.571,28.571,scope;proof,0.0006250000000040945
poia,evt-83,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-84,71.429,28.571,28.571,scope;proof,0.0004580000000087292
poia,evt-84,100.0,0.0,0.0,,0.00045899999999432506
baseline,evt-85,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-85,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-86,71.429,28.571,28.571,scope;proof,0.0005829999999984459
poia,evt-86,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-87,71.429,28.571,28.571,scope;proof,0.0005829999999984459
poia,evt-87,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-88,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-88,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-89,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-89,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-90,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-90,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-91,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-91,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-92,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-92,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-93,71.429,28.571,28.571,scope;proof,0.005417000000007555
poia,evt-93,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-94,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-94,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-95,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-95,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-96,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-96,100.0,0.0,0.0,,0.0005420000000061487
baseline,evt-97,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-97,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-98,71.429,28.571,28.571,scope;proof,0.0004580000000087292
poia,evt-98,100.0,0.0,0.0,,0.00045899999999432506
baseline,evt-99,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-99,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-100,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-100,100.0,0.0,0.0,,0.00045899999999432506
baseline,evt-101,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-101,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-102,71.429,28.571,28.571,scope;proof,0.000750000000007689
poia,evt-102,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-103,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-103,100.0,0.0,0.0,,0.00045899999999432506
baseline,evt-104,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-104,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-105,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-105,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-106,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-106,100.0,0.0,0.0,,0.0017910000000009862
baseline,evt-107,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-107,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-108,71.429,28.571,28.571,scope;proof,0.0004580000000087292
poia,evt-108,100.0,0.0,0.0,,0.0010839999999984196
baseline,evt-109,71.429,28.571,28.571,scope;proof,0.0013340000000056085
poia,evt-109,100.0,0.0,0.0,,0.0005829999999984459
baseline,evt-110,71.429,28.571,28.571,scope;proof,0.0007919999999994598
poia,evt-110,100.0,0.0,0.0,,0.0005409999999927972
baseline,evt-111,71.429,28.571,28.571,scope;proof,0.0005839999999979195
poia,evt-111,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-112,71.429,28.571,28.571,scope;proof,0.0005839999999979195
poia,evt-112,100.0,0.0,0.0,,0.0005420000000061487
baseline,evt-113,71.429,28.571,28.571,scope;proof,0.0016669999999968654
poia,evt-113,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-114,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-114,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-115,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-115,100.0,0.0,0.0,,0.00045899999999432506
baseline,evt-116,71.429,28.571,28.571,scope;proof,0.0045000000000045
poia,evt-116,100.0,0.0,0.0,,0.001000000000001
baseline,evt-117,71.429,28.571,28.571,scope;proof,0.0011669999999963654
poia,evt-117,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-118,71.429,28.571,28.571,scope;proof,0.0006250000000040945
poia,evt-118,100.0,0.0,0.0,,0.00045899999999432506
baseline,evt-119,71.429,28.571,28.571,scope;proof,0.000541000000006675
poia,evt-119,100.0,0.0,0.0,,0.0009170000000030543
baseline,evt-120,71.429,28.571,28.571,scope;proof,0.0005420000000061487
poia,evt-120,100.0,0.0,0.0,,0.0004579999999948514
