backend,configuration,trial,available,success,failure_reason,signing_latency_ms,verification_latency_ms,server_side_latency_ms,end_to_end_latency_ms
zt_authenticator,ZT-Authenticator,98,True,True,,0.002375,0.007542,0.020417,3400.020417
zt_authenticator,ZT-Authenticator,99,True,True,,0.002458,0.007709,0.020375,3400.020375
zt_authenticator,ZT-Authenticator,100,True,True,,0.002458,0.007625,0.020542,3400.020542
software_signing,Software signing baseline,1,True,True,,0.021875,0.011292,0.062333,150.062333
software_signing,Software signing baseline,2,True,True,,0.002792,0.008208,0.018208,150.018208
software_signing,Software signing baseline,3,True,True,,0.002542,0.007875,0.016833,150.016833
software_signing,Software signing baseline,4,True,True,,0.0025,0.00775,0.016292,150.016292
software_signing,Software signing baseline,5,True,True,,0.002416,0.007459,0.015916,150.015916
software_signing,Software signing baseline,6,True,True,,0.003625,0.007708,0.017375,150.017375
software_signing,Software signing baseline,7,True,True,,0.0025,0.007583,0.016292,150.016292
software_signing,Software signing baseline,8,True,True,,0.002375,0.0075,0.015959,150.015959
software_signing,Software signing baseline,9,True,True,,0.002459,0.007666,0.016292,150.016292
software_signing,Software signing baseline,10,True,True,,0.002458,0.007625,0.016333,150.016333
software_signing,Software signing baseline,11,True,True,,0.002333,0.0075,0.015875,150.015875
software_signing,Software signing baseline,12,True,True,,0.002417,0.007541,0.015792,150.015792
software_signing,Software signing baseline,13,True,True,,0.002375,0.007458,0.015708,150.015708
software_signing,Software signing baseline,14,True,True,,0.002375,0.0075,0.015792,150.015792
software_signing,Software signing baseline,15,True,True,,0.002375,0.007708,0.016042,150.016042
software_signing,Software signing baseline,16,True,True,,0.02675,0.043917,0.104208,150.104208
software_signing,Software signing baseline,17,True,True,,0.008709,0.023916,0.055083,150.055083
software_signing,Software signing baseline,18,True,True,,0.007958,0.023083,0.049667,150.049667
software_signing,Software signing baseline,19,True,True,,0.007875,0.022375,0.048666,150.048666
software_signing,Software signing baseline,20,True,True,,0.00775,0.022583,0.048666,150.048666
software_signing,Software signing baseline,21,True,True,,0.014083,0.030333,0.230833,150.230833
software_signing,Software signing baseline,22,True,True,,0.008625,0.179167,0.209084,150.209084
software_signing,Software signing baseline,23,True,True,,0.00975,0.023542,0.053625,150.053625
software_signing,Software signing baseline,24,True,True,,0.007875,0.02475,0.050166,150.050166
software_signing,Software signing baseline,25,True,True,,0.013,0.027667,0.124667,150.124667
software_signing,Software signing baseline,26,True,True,,0.008125,0.025167,0.053375,150.053375
software_signing,Software signing baseline,27,True,True,,0.008041,0.107875,0.134333,150.134333
software_signing,Software signing baseline,28,True,True,,0.009792,0.02275,0.052959,150.052959
software_signing,Software signing baseline,29,True,True,,0.00775,0.082709,0.107834,150.107834
software_signing,Software signing baseline,30,True,True,,0.010542,0.132625,0.163917,150.163917
software_signing,Software signing baseline,31,True,True,,0.009041,0.023042,0.052625,150.052625
software_signing,Software signing baseline,32,True,True,,0.007708,0.022583,0.047709,150.047709
software_signing,Software signing baseline,33,True,True,,0.00775,0.022417,0.048,150.048
software_signing,Software signing baseline,34,True,True,,0.007708,0.022334,0.048333,150.048333
software_signing,Software signing baseline,35,True,True,,0.007375,0.021917,0.046666,150.046666
software_signing,Software signing baseline,36,True,True,,0.007625,0.022166,0.047041,150.047041
software_signing,Software signing baseline,37,True,True,,0.010458,0.011166,0.10275,150.10275
software_signing,Software signing baseline,38,True,True,,0.021292,0.053333,0.083084,150.083084
software_signing,Software signing baseline,39,True,True,,0.00475,0.009333,0.023833,150.023833
software_signing,Software signing baseline,40,True,True,,0.002708,0.008084,0.0175,150.0175
software_signing,Software signing baseline,41,True,True,,0.0025,0.00775,0.016458,150.016458
software_signing,Software signing baseline,42,True,True,,0.0025,0.00775,0.016541,150.016541
software_signing,Software signing baseline,43,True,True,,0.0025,0.007833,0.016583,150.016583
software_signing,Software signing baseline,44,True,True,,0.002375,0.007708,0.016208,150.016208
software_signing,Software signing baseline,45,True,True,,0.002458,0.007791,0.016458,150.016458
software_signing,Software signing baseline,46,True,True,,0.002459,0.008,0.017,150.017
software_signing,Software signing baseline,47,True,True,,0.002458,0.007833,0.016542,150.016542
software_signing,Software signing baseline,48,True,True,,0.002459,0.007667,0.016334,150.016334
software_signing,Software signing baseline,49,True,True,,0.0025,0.007667,0.016083,150.016083
software_signing,Software signing baseline,50,True,True,,0.0025,0.007708,0.016167,150.016167
software_signing,Software signing baseline,51,True,True,,0.002416,0.007625,0.016125,150.016125
software_signing,Software signing baseline,52,True,True,,0.0025,0.007583,0.016,150.016
software_signing,Software signing baseline,53,True,True,,0.002459,0.007625,0.016042,150.016042
software_signing,Software signing baseline,54,True,True,,0.0025,0.007625,0.01625,150.01625
software_signing,Software signing baseline,55,True,True,,0.002458,0.007625,0.016125,150.016125
software_signing,Software signing baseline,56,True,True,,0.002458,0.0075,0.016208,150.016208
software_signing,Software signing baseline,57,True,True,,0.0025,0.007583,0.015917,150.015917
software_signing,Software signing baseline,58,True,True,,0.002458,0.007542,0.015875,150.015875
software_signing,Software signing baseline,59,True,True,,0.002416,0.007417,0.015833,150.015833
software_signing,Software signing baseline,60,True,True,,0.002417,0.007459,0.015708,150.015708
software_signing,Software signing baseline,61,True,True,,0.002417,0.007416,0.015625,150.015625
software_signing,Software signing baseline,62,True,True,,0.002417,0.007375,0.015666,150.015666
software_signing,Software signing baseline,63,True,True,,0.002416,0.007417,0.015667,150.015667
software_signing,Software signing baseline,64,True,True,,0.0025,0.0075,0.015875,150.015875
software_signing,Software signing baseline,65,True,True,,0.0025,0.007708,0.016666,150.016666
software_signing,Software signing baseline,66,True,True,,0.002458,0.007625,0.01625,150.01625
software_signing,Software signing baseline,67,True,True,,0.002417,0.007541,0.015708,150.015708
software_signing,Software signing baseline,68,True,True,,0.0025,0.007458,0.015875,150.015875
software_signing,Software signing baseline,69,True,True,,0.002458,0.007667,0.015875,150.015875
software_signing,Software signing baseline,70,True,True,,0.002458,0.0075,0.015833,150.015833
software_signing,Software signing baseline,71,True,True,,0.0025,0.0075,0.015875,150.015875
software_signing,Software signing baseline,72,True,True,,0.002417,0.007667,0.016084,150.016084
software_signing,Software signing baseline,73,True,True,,0.002417,0.007542,0.015916,150.015916
software_signing,Software signing baseline,74,True,True,,0.002416,0.007458,0.01575,150.01575
software_signing,Software signing baseline,75,True,True,,0.002375,0.007542,0.015708,150.015708
software_signing,Software signing baseline,76,True,True,,0.002417,0.007458,0.015875,150.015875
software_signing,Software signing baseline,77,True,True,,0.002417,0.007583,0.015875,150.015875
software_signing,Software signing baseline,78,True,True,,0.002417,0.007583,0.015875,150.015875
software_signing,Software signing baseline,79,True,True,,0.002375,0.0075,0.015792,150.015792
software_signing,Software signing baseline,80,True,True,,0.002417,0.007459,0.01575,150.01575
software_signing,Software signing baseline,81,True,True,,0.002417,0.007542,0.015917,150.015917
software_signing,Software signing baseline,82,True,True,,0.002541,0.007459,0.015834,150.015834
software_signing,Software signing baseline,83,True,True,,0.002416,0.007459,0.015708,150.015708
software_signing,Software signing baseline,84,True,True,,0.002417,0.007417,0.015708,150.015708
software_signing,Software signing baseline,85,True,True,,0.002417,0.007458,0.015792,150.015792
software_signing,Software signing baseline,86,True,True,,0.002833,0.007833,0.110833,150.110833
software_signing,Software signing baseline,87,True,True,,0.0025,0.007583,0.016042,150.016042
