trial,scenario,mode,accepted,expected_accept,correct,reason,verification_overhead_ms
18,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02208300000000607
18,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
18,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02195900000000195
18,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
18,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021958000000002476
19,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005958000000000352
19,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022458000000002976
19,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005750000000012689
19,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022207999999995787
19,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
19,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02166700000000299
19,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005666999999986988
19,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021707999999995287
20,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005875000000002406
20,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02208300000000607
20,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
20,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02166699999998911
20,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
20,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
20,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005708999999992637
20,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022084000000005544
21,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.007499999999993623
21,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02216699999998961
21,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005708000000007041
21,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022458000000002976
21,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.00558400000000292
21,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02287500000000553
21,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.00579200000000446
21,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022250000000001435
22,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005917000000008055
22,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.021999999999994246
22,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.0055000000000055005
22,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02212500000001172
22,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.0058329999999967574
